name,UNID,sex,age,class,happy,hair_color,exclusive,greek,smoke,talking_min,texts_sent,live_campus,roomates,austin,commute,UT_sport,height,hw_hours_college,hw_hours_HS,sleep_Tues,sleep_Sat,talking_hrs,sleep_average,happiness_cat
Kasha Tyrell,kt1943,Female,19,Sophomore,89,brown,1,no,no,20,100,no,2,9,bus,no,"5, 2",3,1,8,13,0.3333333333333333,10.5,Happy
Jone Koski,jk3821,Female,19,Sophomore,90,black,2,yes,no,20,50,no,3,10,walk,no,"5, 8",8,2,7,10,0.3333333333333333,8.5,Happy
Shyla Franck,sf7124,Female,18,Freshman,60,brown,1,no,no,30,121,yes,1,8,bus,no,"6, 1",6,1,9,9,0.5,9,Somewhat happy
Loise Blunt,lb2933,Female,19,Sophomore,100,black,10,no,no,300,1000,no,3,8,walk,yes,"5, 7",5,1,8.5,8.5,5,8.5,Happy
Parker Prom,pp4619,Male,18,Freshman,85,black,10,no,no,420,600,yes,1,8,walk,no,"5, 6",,2,8,10,7,9,Happy
Alva Feather,af8243,Male,19,Sophomore,90,brown,10,no,no,3,100,no,3,10,bus,yes,"5, 2",20,10,6,10,0.05,8,Happy
Darlena Rambert,dr3139,Female,18,Freshman,80,brown,5,no,no,15,500,yes,1,10,walk,no,"5, 5",10,5,5,9,0.25,7,Somewhat happy
Clarice Wedgeworth,cw1794,Female,18,Freshman,,black,,no,no,3,60,yes,1,8,walk,yes,"5, 10",6,1,8,10,0.05,9,
Jacquelyne Fettig,jf8022,Female,18,Freshman,97,blond,6,yes,no,7,45,no,1,10,walk,no,"5, 9",20,10,8,9,0.11666666666666667,8.5,Happy
Tracey Burgett,tb7061,Male,18,Freshman,75,brown,10,no,no,350,400,yes,1,7,walk,no,"6, 2",12,8,10,8,5.833333333333333,9,Somewhat happy
Evalyn Zupan,ez5649,Female,19,Sophomore,90,brown,5,no,no,4,200,no,2,6,bike,no,"5, 10",10,2,8,6,0.06666666666666667,7,Happy
Karly Engman,ke3010,Female,18,Freshman,90,brown,4,no,no,20,200,yes,1,9,walk,no,"6, 3",15,5,8,10,0.3333333333333333,9,Happy
Long Been,lb2777,Male,18,Freshman,95,brown,10,no,no,300,200,yes,1,7,walk,no,"4, 11",10,4,4,6,5,5,Happy
Chaya Edens,ce6535,Female,18,Freshman,80,brown,10,no,no,5,300,yes,1,7,walk,no,"4, 11",20,10,8,10,0.08333333333333333,9,Somewhat happy
Lola Tibbitts,lt1454,Female,19,Sophomore,85,black,2,no,no,4,10,no,3,8,walk,no,"5, 10",12,6,10,,0.06666666666666667,10,Happy
Ned Burks,nb3147,Male,18,Freshman,85,brown,3,no,no,60,300,yes,1,9,walk,no,"5, 11",11,8,6.5,8.5,1,7.5,Happy
Leonardo Ostendorf,lo8421,Male,20,Junior,70,brown,3,no,no,90,50,no,3,8,bus,yes,"4, 1",9,1,8,7,1.5,7.5,Somewhat happy
Steve Reagan,sr3775,Male,18,Freshman,75,black,1,no,yes,50,150,yes,1,7,drive,no,"6, 0",10,3,6,6,0.8333333333333334,6,Somewhat happy
Alia Keleher,ak1253,Female,18,Freshman,75,black,1,no,no,20,30,yes,1,7,walk,no,"5, 10",10,5,6.5,7,0.3333333333333333,6.75,Somewhat happy
Letha Kovar,lk9640,Female,18,Freshman,70,brown,2,no,no,180,20,yes,3,8,walk,yes,"5, 7",10,5,7,8,3,7.5,Somewhat happy
Randal Burge,rb1889,Male,18,Freshman,95,blond,10,no,only socially,200,400,no,1,10,bus,no,"4, 11",10,5,5,5,3.3333333333333335,5,Happy
